Unnamed: 0,Time Serie,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,EU_pct,UK_pct,INDIA_pct,SRLNK_pct,EU_cdf,UK_cdf,INDIA_cdf,SRLNK_cdf
0,03/01/2000,1.5172,0.9847,1.9033,0.6146,1.805,1.4465,8.2798,7.7765,43.55,1128.0,9.4015,6.126,1.6563,7.329,101.7,3.8,7.964,8.443,72.3,1.5808,31.38,36.97,,,,,,,,
1,04/01/2000,1.5239,0.97,1.9238,0.6109,1.8405,1.4518,8.2799,7.7775,43.55,1122.5,9.457,6.085,1.6535,7.218,103.09,3.8,7.934,8.36,72.65,1.5565,30.6,37.13,-1.4928404590230593,-0.6020175724048227,0.0,0.48409405255880333,-1.4928404590230593,-0.6020175724048227,0.0,0.48409405255880333
2,05/01/2000,1.5267,0.9676,1.9339,0.6092,1.856,1.4518,8.2798,7.778,43.55,1135.0,9.535,6.07,1.656,7.208,103.77,3.8,7.935,8.353,72.95,1.5526,30.8,37.1,-0.24742268041236803,-0.2782779505647426,0.0,0.4129387474191226,-1.7402631394354273,-0.8802955229695653,0.0,0.897032799977926
3,06/01/2000,1.5291,0.9686,1.9436,0.607,1.84,1.4571,8.2797,7.7785,43.55,1146.5,9.567,6.08,1.6655,7.2125,105.19,3.8,7.94,8.3675,72.95,1.554,31.75,37.62,0.10334849111202082,-0.36112934996717083,0.0,0.0,-1.6369146483234065,-1.241424872936736,0.0,0.897032799977926
4,07/01/2000,1.5272,0.9714,1.938,0.6104,1.831,1.4505,8.2794,7.7783,43.55,1138.0,9.52,6.057,1.6625,7.2285,105.17,3.8,7.966,8.415,73.15,1.5623,30.85,37.3,0.2890770183770375,0.5601317957166563,0.0,0.274160383824551,-1.347837629946369,-0.6812930772200798,0.0,1.171193183802477
5,10/01/2000,1.5242,0.9754,1.935,0.6107,1.819,1.4568,8.2794,7.7785,43.55,1133.5,9.445,6.0765,1.6618,7.254,105.28,3.8,8.024,8.449,73.3,1.5704,30.83,37.27,0.41177681696520363,0.04914809960681055,0.0,0.20505809979491918,-0.9360608129811654,-0.6321449776132693,0.0,1.3762512835973961
6,11/01/2000,1.5209,0.9688,1.9365,0.6068,1.8225,1.457,8.2795,7.7785,43.6,1147.0,9.4825,6.09,1.669,7.214,106.09,3.8,7.969,8.397,73.35,1.5605,30.83,37.61,-0.6766454787779375,-0.6386114295071299,0.11481056257176547,0.06821282401090478,-1.6127062917591029,-1.2707564071203992,0.11481056257176547,1.444464107608301
7,12/01/2000,1.5202,0.9727,1.9286,0.6073,1.835,1.455,8.2796,7.7787,43.6,1144.5,9.515,6.0685,1.669,7.236,105.76,3.8,7.977,8.418,73.35,1.566,30.8,37.54,0.4025598678777831,0.08239947264336855,0.0,0.0,-1.2101464238813198,-1.1883569344770306,0.11481056257176547,1.444464107608301
8,13/01/2000,1.4954,0.9737,1.9084,0.6067,1.814,1.4495,8.2798,7.7788,43.55,1135.5,9.51,6.057,1.67,7.252,106.09,3.8,7.9425,8.417,73.35,1.5707,30.8,37.49,0.10280662074637625,-0.09879795817552273,-0.11467889908257645,0.0,-1.1073398031349435,-1.2871548926525533,0.0001316634891890267,1.444464107608301
9,14/01/2000,1.5004,0.9874,1.9186,0.6115,1.805,1.4497,8.2797,7.7789,43.55,1125.0,9.455,6.075,1.6752,7.347,105.86,3.8,7.997,8.474,73.35,1.5945,30.83,37.55,1.4070042107425351,0.7911653205867841,0.0,0.0,0.2996644076075916,-0.4959895720657692,0.0001316634891890267,1.444464107608301
