Country,Time Serie,Rate
INDIA/US,03/01/2000,43.55
INDIA/US,04/01/2000,43.55
INDIA/US,05/01/2000,43.55
INDIA/US,06/01/2000,43.55
INDIA/US,07/01/2000,43.55
INDIA/US,10/01/2000,43.55
INDIA/US,11/01/2000,43.6
INDIA/US,12/01/2000,43.6
INDIA/US,13/01/2000,43.55
INDIA/US,14/01/2000,43.55
INDIA/US,18/01/2000,43.6
INDIA/US,19/01/2000,43.6
INDIA/US,20/01/2000,43.6
INDIA/US,21/01/2000,43.6
INDIA/US,24/01/2000,43.62
INDIA/US,25/01/2000,43.59
INDIA/US,26/01/2000,43.65
INDIA/US,27/01/2000,43.63
INDIA/US,28/01/2000,43.65
INDIA/US,31/01/2000,43.65
INDIA/US,01/02/2000,43.62
INDIA/US,02/02/2000,43.65
INDIA/US,03/02/2000,43.65
INDIA/US,04/02/2000,43.65
INDIA/US,07/02/2000,43.64
INDIA/US,08/02/2000,43.63
INDIA/US,09/02/2000,43.65
INDIA/US,10/02/2000,43.58
INDIA/US,11/02/2000,43.65
INDIA/US,14/02/2000,43.65
INDIA/US,15/02/2000,43.64
INDIA/US,16/02/2000,43.75
INDIA/US,17/02/2000,43.68
INDIA/US,18/02/2000,43.68
INDIA/US,22/02/2000,43.65
INDIA/US,23/02/2000,43.68
INDIA/US,24/02/2000,43.65
INDIA/US,25/02/2000,43.65
INDIA/US,28/02/2000,43.68
INDIA/US,29/02/2000,43.65
INDIA/US,01/03/2000,43.63
INDIA/US,02/03/2000,43.65
INDIA/US,03/03/2000,43.65
INDIA/US,06/03/2000,43.63
INDIA/US,07/03/2000,43.63
INDIA/US,08/03/2000,43.65
INDIA/US,09/03/2000,43.63
INDIA/US,10/03/2000,43.65
INDIA/US,13/03/2000,43.65
INDIA/US,14/03/2000,43.64
INDIA/US,15/03/2000,43.65
INDIA/US,16/03/2000,43.58
INDIA/US,17/03/2000,43.65
INDIA/US,20/03/2000,43.63
INDIA/US,21/03/2000,43.59
INDIA/US,22/03/2000,43.65
INDIA/US,23/03/2000,43.65
INDIA/US,24/03/2000,43.65
INDIA/US,27/03/2000,43.62
INDIA/US,28/03/2000,43.65
INDIA/US,29/03/2000,43.65
INDIA/US,30/03/2000,43.65
INDIA/US,31/03/2000,43.65
INDIA/US,03/04/2000,43.632
INDIA/US,04/04/2000,43.65
INDIA/US,05/04/2000,43.68
INDIA/US,06/04/2000,43.65
INDIA/US,07/04/2000,43.67
INDIA/US,10/04/2000,43.66
INDIA/US,11/04/2000,43.68
INDIA/US,12/04/2000,43.7
INDIA/US,13/04/2000,43.7
INDIA/US,14/04/2000,43.75
INDIA/US,17/04/2000,43.68
INDIA/US,18/04/2000,43.7
INDIA/US,19/04/2000,43.7
INDIA/US,20/04/2000,43.687
INDIA/US,21/04/2000,43.7
INDIA/US,24/04/2000,43.655
INDIA/US,25/04/2000,43.7
INDIA/US,26/04/2000,43.7
INDIA/US,27/04/2000,43.7
INDIA/US,28/04/2000,43.7
INDIA/US,01/05/2000,43.67
INDIA/US,02/05/2000,43.75
INDIA/US,03/05/2000,43.73
INDIA/US,04/05/2000,43.67
INDIA/US,05/05/2000,43.7
INDIA/US,08/05/2000,43.7
INDIA/US,09/05/2000,43.7
INDIA/US,10/05/2000,44.3
INDIA/US,11/05/2000,44.44
INDIA/US,12/05/2000,44.15
INDIA/US,15/05/2000,44.44
INDIA/US,16/05/2000,44.05
INDIA/US,17/05/2000,44.02
INDIA/US,18/05/2000,44.03
INDIA/US,19/05/2000,44
INDIA/US,22/05/2000,44.02
INDIA/US,23/05/2000,44.15
INDIA/US,24/05/2000,44.25
INDIA/US,25/05/2000,44.2
INDIA/US,26/05/2000,44.4
INDIA/US,30/05/2000,44.65
INDIA/US,31/05/2000,44.65
INDIA/US,01/06/2000,44.65
INDIA/US,02/06/2000,44.7
INDIA/US,05/06/2000,44.75
INDIA/US,06/06/2000,44.75
INDIA/US,07/06/2000,44.83
INDIA/US,08/06/2000,44.85
INDIA/US,09/06/2000,44.85
INDIA/US,12/06/2000,44.85
INDIA/US,13/06/2000,44.8
INDIA/US,14/06/2000,44.72
INDIA/US,15/06/2000,44.8
INDIA/US,16/06/2000,44.83
INDIA/US,19/06/2000,44.85
INDIA/US,20/06/2000,44.75
INDIA/US,21/06/2000,44.7
INDIA/US,22/06/2000,44.7
INDIA/US,23/06/2000,44.75
INDIA/US,26/06/2000,44.75
INDIA/US,27/06/2000,44.7
INDIA/US,28/06/2000,44.72
INDIA/US,29/06/2000,44.73
INDIA/US,30/06/2000,44.7
INDIA/US,03/07/2000,44.72
INDIA/US,05/07/2000,44.69
INDIA/US,06/07/2000,44.81
INDIA/US,07/07/2000,44.78
INDIA/US,10/07/2000,44.75
INDIA/US,11/07/2000,44.75
INDIA/US,12/07/2000,44.75
INDIA/US,13/07/2000,44.78
INDIA/US,14/07/2000,44.78
INDIA/US,17/07/2000,44.74
INDIA/US,18/07/2000,44.83
INDIA/US,19/07/2000,44.85
INDIA/US,20/07/2000,45.02
INDIA/US,21/07/2000,44.8
INDIA/US,24/07/2000,44.77
