Country,Year,
INDIA/US,2000,44.99747619
INDIA/US,2001,47.21996
INDIA/US,2002,48.62569721
INDIA/US,2003,46.59079681
INDIA/US,2004,45.26098814
INDIA/US,2005,44.0001992
INDIA/US,2006,45.18605578
INDIA/US,2007,41.19390438
INDIA/US,2008,43.3859127
INDIA/US,2009,48.33238095
INDIA/US,2010,45.65074297
INDIA/US,2011,46.57816733
INDIA/US,2012,53.37434303
INDIA/US,2013,58.51486056
INDIA/US,2014,60.995252
INDIA/US,2015,64.107251
INDIA/US,2016,67.15717131
INDIA/US,2017,65.06594378
INDIA/US,2018,68.37343775
INDIA/US,2019,70.37771084
JPN/US,2000,107.8040476
JPN/US,2001,121.56804
JPN/US,2002,125.2204382
JPN/US,2003,115.9386853
JPN/US,2004,108.15083
JPN/US,2005,110.1069323
JPN/US,2006,116.3120717
JPN/US,2007,117.8104781
JPN/US,2008,103.3906349
JPN/US,2009,93.68265873
JPN/US,2010,87.77425703
JPN/US,2011,79.69665339
JPN/US,2012,79.81800797
JPN/US,2013,97.59713147
JPN/US,2014,105.7398
JPN/US,2015,121.0490837
JPN/US,2016,108.6569323
JPN/US,2017,112.0985542
JPN/US,2018,110.3973896
JPN/US,2019,109.0188353
CHN/US,2000,8.278411508
CHN/US,2001,8.2770132
CHN/US,2002,8.277050996
CHN/US,2003,8.277170916
CHN/US,2004,8.276792885
CHN/US,2005,8.19399243
CHN/US,2006,7.972343825
CHN/US,2007,7.607156175
CHN/US,2008,6.947740079
CHN/US,2009,6.830738889
CHN/US,2010,6.769373896
CHN/US,2011,6.46301992
CHN/US,2012,6.309262948
CHN/US,2013,6.147754183
CHN/US,2014,6.1619892
CHN/US,2015,6.282743426
CHN/US,2016,6.640016335
CHN/US,2017,6.756870281
CHN/US,2018,6.609042972
CHN/US,2019,6.908139357
SRLNK/US,2000,76.96436508
SRLNK/US,2001,89.60172
SRLNK/US,2002,95.772749
SRLNK/US,2003,96.54131474
SRLNK/US,2004,101.2676482
SRLNK/US,2005,100.3825697
SRLNK/US,2006,103.9402789
SRLNK/US,2007,110.5996016
SRLNK/US,2008,108.2977183
SRLNK/US,2009,114.9087897
SRLNK/US,2010,112.9839759
SRLNK/US,2011,110.4693625
SRLNK/US,2012,127.5393625
SRLNK/US,2013,129.0458167
SRLNK/US,2014,130.53632
SRLNK/US,2015,135.8694821
